SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Townhouse,90-27 186 St,Queens,NY,11423,799000,3,2.0,Hollis,,2500,1925,6,,,Active,,,https://www.redfin.com/NY/Queens/90-27-186th-St-11423/home/20765210,REBNY,PRCH-5000297,N,Y,40.7112733,-73.7737905
MLS Listing,,Townhouse,26 Lester Ct,Brooklyn,NY,11229,595000,2,2.5,Gerristen Beach,,1800,1930,20,,,Active,,,https://www.redfin.com/NY/Brooklyn/26-Lester-Ct-11229/home/40910250,REBNY,PRCH-4376702,N,Y,40.5877603,-73.9247421
MLS Listing,,Single Family Residential,9444 226th St,Floral Park,NY,11001,719000,3,2.0,Floral Park,,2400,1925,33,,,Active,,,https://www.redfin.com/NY/Floral-Park/9444-226th-St-11001/home/20477457,OneKey,3446280,N,Y,40.7212175,-73.72924
MLS Listing,,Single Family Residential,117-51 126th St,South Ozone Park,NY,11420,599000,3,2.0,South Ozone Park,,2100,1920,62,,,Active,,,https://www.redfin.com/NY/Queens/117-51-126th-St-11420/home/20719864,OneKey,3441422,N,Y,40.6737766,-73.8119125
MLS Listing,,Condo/Co-op,99-31 64th Ave Unit A-15,Queens,NY,11374,349000,1,1.0,Rego Park,968,38200,1947,65,361,814,Active,,,https://www.redfin.com/NY/Rego-Park/9931-64th-Ave-11374/unit-A15/home/40449539,REBNY,PRCH-3974324,N,Y,40.7317499,-73.8535799
MLS Listing,,Condo/Co-op,11 W 30th St Unit 12R,New York,NY,10001,1695000,2,2.0,Midtown South,1890,4937,1927,69,897,3388,Active,,,https://www.redfin.com/NY/New-York/11-W-30th-St-10001/unit-12R/home/182513684,REBNY,PRCH-3970387,N,Y,40.7464683,-73.9872992
MLS Listing,,Multi-Family (2-4 Unit),3086 Avenue W,Brooklyn,NY,11229,859000,3,2.0,Sheepshead Bay,,2000,1955,75,,,Active,,,https://www.redfin.com/NY/Brooklyn/3086-Avenue-W-11229/home/40865301,REBNY,PRCH-3971722,N,Y,40.5963917,-73.9346907
MLS Listing,,Condo/Co-op,211 Thompson St Unit 6M,New York,NY,10012,899000,1,1.5,Greenwich Village,,10000,1975,77,,1361,Active,,,https://www.redfin.com/NY/New-York/211-Thompson-St-10012/unit-6M/home/45141781,REBNY,PRCH-3970271,N,Y,40.7289082,-73.9994851
MLS Listing,,Multi-Family (2-4 Unit),71-09 73rd St,Glendale,NY,11385,895000,5,2.5,Glendale,,2017,1910,83,,,Active,,,https://www.redfin.com/NY/Queens/71-09-73rd-St-11385/home/20877533,OneKey,3436955,N,Y,40.7051351,-73.8772463
MLS Listing,,Condo/Co-op,172-27 Highland Ave Unit 1H,Queens,NY,11432,500000,2,2.5,Jamaica,,25000,1991,93,,370,Active,,,https://www.redfin.com/NY/Queens/17227-Highland-Ave-11432/unit-1H/home/20760650,REBNY,PRCH-3960099,N,Y,40.7134503,-73.7904076
MLS Listing,,Townhouse,111-56 144th St,Jamaica,NY,11435,529000,2,2.0,Jamaica,,2200,1945,96,,,Active,,,https://www.redfin.com/NY/Jamaica/111-56-144th-St-11435/home/20714726,OneKey,3434077,N,Y,40.6848845,-73.8002608
MLS Listing,,Single Family Residential,80-38 256th St,Glen Oaks,NY,11004,849000,4,2.5,Glen Oaks,1734,4000,1950,98,490,,Active,,,https://www.redfin.com/NY/Queens/80-38-256th-St-11004/home/20794042,OneKey,3433472,N,Y,40.742948,-73.7145709
MLS Listing,,Condo/Co-op,84-20 153rd Ave Unit 3C,Queens,NY,11414,279000,2,2.0,Lindenwood,,110550,1964,111,,1217,Active,,,https://www.redfin.com/NY/Queens/84-20-153rd-Ave-11414/unit-3C/home/20647590,REBNY,PRCH-3944575,N,Y,40.666096,-73.8488468
MLS Listing,,Condo/Co-op,351 S 3rd St Unit 3B,Brooklyn,NY,11211,1040000,2,1.0,Williamsburg,761,2950,2006,120,1367,280,Active,,,https://www.redfin.com/NY/Brooklyn/351-S-3rd-St-11211/unit-3B/home/40923720,REBNY,PRCH-3937696,N,Y,40.7094314,-73.9535061
MLS Listing,,Condo/Co-op,86-70 Francis Lewis Blvd Unit A52,Queens Village,NY,11427,189000,1,1.0,Hilltop Village,,,1954,140,,730,Active,,,https://www.redfin.com/NY/Queens-Village/8670-Francis-Lewis-BLVD-11427/unit-A52/home/175520289,OneKey,3424104,N,Y,40.7302787,-73.7442568
MLS Listing,,Co-op,417 Riverside Dr Unit 3A1,New York,NY,10025,1450000,2,1.0,Morningside Heights,,6625,1918,142,,2297,Active,,,https://www.redfin.com/NY/New-York/417-Riverside-Dr-10025/unit-3A1/home/45164302,REBNY,PRCH-3866235,N,Y,40.8073367,-73.9666342
MLS Listing,,Single Family Residential,320 Brinsmade Ave,Bronx,NY,10465,500000,3,1.0,BRONX,880,3324,1925,146,568,,Active,,,https://www.redfin.com/NY/The-Bronx/320-Brinsmade-Ave-10465/home/44788252,OneKey,H6202906,N,Y,40.8180068,-73.8216085
MLS Listing,,Condo/Co-op,110 W 80th St Unit 4r/F,New York,NY,10024,1899999,3,2.5,Upper West Side,,2043,1893,167,,1657,Active,,,https://www.redfin.com/NY/New-York/110-W-80th-St-10024/unit-4r-F/home/180603291,REBNY,PRCH-3852856,N,Y,40.7827605,-73.9758616
MLS Listing,,Condo/Co-op,301 E 87th St Unit 23F,New York,NY,10128,850000,1,1.0,Yorkville,,10067,1972,180,,1765,Active,,,https://www.redfin.com/NY/New-York/301-E-87th-St-10128/unit-23F/home/45161559,REBNY,PRCH-3845636,N,Y,40.7785894,-73.9507922
MLS Listing,,Condo/Co-op,118 E 60th St Unit 23A,New York,NY,10022,550000,1,1.0,Lenox Hill,,24100,1964,289,,1715,Active,,,https://www.redfin.com/NY/New-York/118-E-60th-St-10022/unit-23A/home/172384064,REBNY,PRCH-3766068,N,Y,40.7629068,-73.9686349
MLS Listing,,Condo/Co-op,200 Cabrini Blvd #1,New York,NY,10033,699000,2,1.0,Hudson Heights,997,382704,1939,457,701,1433,Active,,,https://www.redfin.com/NY/New-York/200-Cabrini-Blvd-10033/unit-1/home/115051448,REBNY,PRCH-3682387,N,Y,40.854604029,-73.9392436
MLS Listing,,Condo/Co-op,330 E 38th St Unit 24-A,New York,NY,10016,1295000,1,2.5,Murray Hill,1043,81173,1987,1,1242,843,Active,,,https://www.redfin.com/NY/New-York/330-E-38th-St-10016/unit-24A/home/45258125,REBNY,OLRS-1594952,N,Y,40.7463691,-73.9731773
MLS Listing,,Condo/Co-op,21-45 44th Dr Unit 1-J,Queens,NY,11101,754000,1,1.0,Hunters Point,628,7300,2010,1,1201,644,Active,,,https://www.redfin.com/NY/Long-Island-City/21-45-44th-Dr-11101/unit-1J/home/45109637,REBNY,OLRS-1600623,N,Y,40.7480735,-73.9457711
MLS Listing,,Condo/Co-op,300 E 85th St #202,New York,NY,10028,780000,1,1.0,Yorkville,700,11850,1987,1,1114,1684,Active,,,https://www.redfin.com/NY/New-York/300-E-85th-St-10028/unit-202/home/45230461,REBNY,OLRS-692860,N,Y,40.776824,-73.9519402
MLS Listing,,Condo/Co-op,159 W 118th St Unit 3-E,New York,NY,10026,1200000,3,2.0,Harlem,1296,10092,1900,1,926,807,Active,,,https://www.redfin.com/NY/New-York/159-W-118th-St-10026/unit-3E/home/45340661,REBNY,OLRS-527270,N,Y,40.8045193,-73.9512339
MLS Listing,,Townhouse,12 Agate Ct,Brooklyn,NY,11213,1700000,4,3.5,Stuyvesant Heights,2720,1240,1888,1,625,,Active,,,https://www.redfin.com/NY/Brooklyn/12-Agate-Ct-11213/home/40729644,REBNY,OLRS-0055205,N,Y,40.6782821,-73.939546
MLS Listing,,Condo/Co-op,177 Ninth Ave Ph -B,New York,NY,10011,5750000,2,2.5,Chelsea,2049,23765,2008,1,2806,7569,Active,,,https://www.redfin.com/NY/New-York/177-9th-Ave-10011/unit-B/home/174307908,REBNY,OLRS-745810,N,Y,40.7450569,-74.0027927
MLS Listing,,Condo/Co-op,112-01 Queens Blvd Unit 6-L,Queens,NY,11375,595000,1,1.0,Forest Hills,683,42680,1988,1,871,806,Active,,,https://www.redfin.com/NY/Queens/112-01-Queens-Blvd-11375/unit-6L/home/20914923,REBNY,OLRS-918299,N,Y,40.7190009,-73.8365029
MLS Listing,,Condo/Co-op,251 Seaman Ave Unit 5F,New York,NY,10034,699000,2,2.0,Inwood,1150,15000,1938,1,608,1282,Active,,,https://www.redfin.com/NY/New-York/251-Seaman-Ave-10034/unit-5F/home/45166505,REBNY,RPLU-28402027926,N,Y,40.8716437,-73.9178483
MLS Listing,,Condo/Co-op,264 W 22nd St #11,New York,NY,10011,499000,1,1.0,Chelsea,,2469,1920,1,,1280,Active,,,https://www.redfin.com/NY/New-York/264-W-22nd-St-10011/unit-11/home/53323250,REBNY,OLRS-1211671,N,Y,40.7442437,-73.9985898
MLS Listing,,Condo/Co-op,462 W 58th St Unit 4-A,New York,NY,10019,2150000,3,2.5,Hells Kitchen,1637,14095,2008,1,1313,1672,Active,,,https://www.redfin.com/NY/New-York/462-W-58th-St-10019/unit-4A/home/45322385,REBNY,OLRS-1546918,N,Y,40.7693647,-73.9875483
MLS Listing,,Condo/Co-op,300 E 71st St Unit 17-H,New York,NY,10021,1299000,2,2.0,Lenox Hill,,22595,1961,1,,2520,Active,,,https://www.redfin.com/NY/New-York/300-E-71st-St-10021/unit-17H/home/144319728,REBNY,OLRS-673046,N,Y,40.7676094,-73.958897
MLS Listing,,Condo/Co-op,13 W 13th St Unit 6-BS,New York,NY,10011,1299000,2,2.0,Greenwich Village,,18070,1962,1,,3080,Active,,,https://www.redfin.com/NY/New-York/13-W-13th-St-10011/unit-6BS/home/166831077,REBNY,OLRS-1823096,N,Y,40.7360052,-73.9950777
MLS Listing,,Condo/Co-op,401 E 60th St Unit 36-B,New York,NY,10022,1585000,2,2.0,Lenox Hill,1140,40200,1999,1,1390,1759,Active,,,https://www.redfin.com/NY/New-York/401-E-60th-St-10022/unit-36B/home/45315373,REBNY,OLRS-1705412,N,Y,40.7603031,-73.9610497
MLS Listing,,Condo/Co-op,304 E 73rd St Unit 2-F,New York,NY,10021,385000,0,1.0,Upper East Side,,5110,1910,1,,877,Active,,,https://www.redfin.com/NY/New-York/304-E-73rd-St-10021/unit-2F/home/45198631,REBNY,OLRS-1469161,N,Y,40.769048,-73.957453
MLS Listing,,Condo/Co-op,100 Park Ter W Unit 4-M,New York,NY,10034,499000,2,1.0,Inwood,,18650,1951,1,,811,Active,,,https://www.redfin.com/NY/New-York/100-Park-Ter-W-10034/unit-4M/home/148571905,REBNY,OLRS-1771961,N,Y,40.8717961,-73.916064
MLS Listing,,Condo/Co-op,205 E 78th St Unit 8-S,New York,NY,10075,395000,0,1.0,Upper East Side,,15835,1928,1,,993,Active,,,https://www.redfin.com/NY/New-York/205-E-78th-St-10075/unit-8S/home/144573967,REBNY,OLRS-122599,N,Y,40.7736038,-73.9573268
MLS Listing,,Townhouse,30 Gunther Pl,Brooklyn,NY,11233,1350000,5,4.5,Ocean Hill,2220,1313,1901,1,608,,Active,January-8-2023 01:00 PM,January-8-2023 03:00 PM,https://www.redfin.com/NY/Brooklyn/30-Gunther-Pl-11233/home/40719317,REBNY,OLRS-0082131,N,Y,40.6767282,-73.9120485
MLS Listing,,Multi-Family (2-4 Unit),228 W 136th St,New York,NY,10030,2695000,4,3.5,Harlem,3400,1665,1910,1,793,,Active,,,https://www.redfin.com/NY/New-York/228-W-136th-St-10030/home/166908956,REBNY,OLRS-0078338,N,Y,40.8163917,-73.9445813
MLS Listing,,Condo/Co-op,11 E 29th St Unit 48-C,New York,NY,10016,2100000,1,1.5,NoMad,991,7404,2005,1,2119,1254,Active,,,https://www.redfin.com/NY/New-York/11-E-29th-St-10016/unit-48C/home/45222464,REBNY,OLRS-1596112,N,Y,40.7449921,-73.985602
MLS Listing,,Condo/Co-op,7 Park Ave Unit 10-H,New York,NY,10016,399000,0,1.0,Murray Hill,,13054,1930,1,,958,Active,,,https://www.redfin.com/NY/New-York/7-Park-Ave-10016/unit-10H/home/53323726,REBNY,OLRS-1090028,N,Y,40.747171,-73.9809462
MLS Listing,,Condo/Co-op,3850 Hudson Manor Ter Unit 6-DE,Bronx,NY,10463,369000,2,2.0,Riverdale,1200,68625,1954,1,308,1270,Active,,,https://www.redfin.com/NY/BRONX/3850-HUDSON-MANOR-TER-10463/unit-6DE/home/40496842,REBNY,OLRS-1096719,N,Y,40.8895,-73.914807
MLS Listing,,Condo/Co-op,88 Greenwich St #917,New York,NY,10006,995000,1,1.0,Financial District,883,24470,1929,1,1127,1317,Active,,,https://www.redfin.com/NY/New-York/88-Greenwich-St-10006/unit-917/home/45204964,REBNY,OLRS-1438947,N,Y,40.7077981,-74.013828
MLS Listing,,Townhouse,,New York,NY,10016,5500000,6,6.0,Murray Hill,5800,1661,1850,1,948,,Active,,,https://www.redfin.com/NY/New-York/Undisclosed-address-10016/home/45333496,REBNY,OLRS-0022203,N,Y,40.7472682,-73.9802189
MLS Listing,,Condo/Co-op,100 W 58th St Unit 7-G,New York,NY,10019,1295000,2,2.0,Midtown Central,1161,10017,1928,1,1115,1839,Active,,,https://www.redfin.com/NY/New-York/100-W-58th-St-10019/unit-7G/home/45190128,REBNY,OLRS-1220201,N,Y,40.7650262,-73.9771152
MLS Listing,,Condo/Co-op,230 W 78th St Unit 5-A,New York,NY,10024,5345000,4,4.0,Upper West Side,2539,5108,2008,1,2105,3788,Active,,,https://www.redfin.com/NY/New-York/230-W-78th-St-10024/unit-5A/home/45223752,REBNY,OLRS-403403,N,Y,40.7828939,-73.9800849
MLS Listing,,Condo/Co-op,363 E 76th St Unit 5-M,New York,NY,10021,850000,2,1.0,Upper East Side,,19754,1963,1,,1826,Active,,,https://www.redfin.com/NY/New-York/363-E-76th-St-10021/unit-5M/home/45183512,REBNY,OLRS-1856971,N,Y,40.7707823,-73.9545398
MLS Listing,,Condo/Co-op,1 Central Park S #1801,New York,NY,10019,16500000,4,3.5,Central Park South,4064,53772,1905,1,4060,6732,Active,,,https://www.redfin.com/NY/New-York/1-Central-Park-S-10019/unit-1801/home/115134796,REBNY,OLRS-1702262,N,Y,40.7646455,-73.974393
MLS Listing,,Condo/Co-op,167 E 61ST St Unit 27-A,New York,NY,10065,1799000,2,2.0,Lenox Hill,1400,21087,1984,1,1285,3691,Active,,,https://www.redfin.com/NY/New-York/167-E-61st-St-10065/unit-27A/home/45156659,REBNY,OLRS-163278,N,Y,40.7631868,-73.9657847
MLS Listing,,Condo/Co-op,580 Marcy Ave Unit 4-B,Brooklyn,NY,11206,799000,1,1.0,Bed Stuy,740,2500,1931,1,1080,398,Active,,,https://www.redfin.com/NY/Brooklyn/580-Marcy-Ave-11206/unit-4B/home/40676452,REBNY,OLRS-1558666,N,Y,40.6948638,-73.9494549
MLS Listing,,Condo/Co-op,22 Mercer St Unit 2-D,New York,NY,10013,4750000,2,2.5,SoHo,2392,10484,1860,1,1986,2940,Active,,,https://www.redfin.com/NY/New-York/22-Mercer-St-10013/unit-2D/home/45189498,REBNY,OLRS-251996,N,Y,40.7206971,-74.001812
MLS Listing,,Condo/Co-op,530 E 76th St Unit 34/35AB,New York,NY,10021,3700000,4,3.5,Upper East Side,2930,9738,1986,1,1263,5031,Active,,,https://www.redfin.com/NY/New-York/530-E-76th-St-10021/unit-3435AB/home/130618209,REBNY,OLRS-622826,N,Y,40.7685084,-73.9499965
MLS Listing,,Condo/Co-op,630 First Ave Unit 9L,New York,NY,10016,1299000,2,2.0,Murray Hill,967,45526,1985,1,1343,1136,Active,,,https://www.redfin.com/NY/New-York/630-1st-Ave-10016/unit-9L/home/45258441,REBNY,RPLU-704119968829,N,Y,40.7451918,-73.9716642
MLS Listing,,Condo/Co-op,52 Park Ave #2,New York,NY,10016,2095000,2,2.5,Murray Hill,1231,2537,1984,1,1702,2317,Active,,,https://www.redfin.com/NY/New-York/52-Park-Ave-10016/unit-2/home/45313641,REBNY,OLRS-198466,N,Y,40.7493512,-73.9801398
MLS Listing,,Condo/Co-op,431 E 82nd St Unit 1-A,New York,NY,10028,280000,0,1.0,Yorkville,,2554,1910,1,,689,Active,,,https://www.redfin.com/NY/New-York/431-E-82nd-St-10028/unit-1A/home/45318792,REBNY,OLRS-757868,N,Y,40.7737792,-73.9495867
MLS Listing,,Condo/Co-op,25 Fifth Ave Unit 8-H,New York,NY,10003,1875000,1,1.0,Greenwich Village,724,10546,1921,1,2590,999,Active,,,https://www.redfin.com/NY/New-York/25-5th-Ave-10003/unit-8H/home/45221385,REBNY,OLRS-1358858,N,Y,40.7328142,-73.995445
MLS Listing,,Condo/Co-op,99 John St #2011,New York,NY,10038,870000,1,1.0,Financial District,798,29668,1933,1,1090,644,Active,,,https://www.redfin.com/NY/New-York/99-John-St-10038/unit-2011/home/45220150,REBNY,OLRS-1101067,N,Y,40.7083595,-74.0060041
MLS Listing,,Condo/Co-op,88 Greenwich St #329,New York,NY,10006,649000,0,1.0,Financial District,618,24470,1929,1,1050,921,Active,,,https://www.redfin.com/NY/New-York/88-Greenwich-St-10006/unit-329/home/45218139,REBNY,OLRS-1718282,N,Y,40.7077981,-74.013828
MLS Listing,,Townhouse,144 Cambridge Pl,Brooklyn,NY,11238,1895000,4,5.0,Clinton Hill,6184,1546,1899,1,306,,Active,,,https://www.redfin.com/NY/Brooklyn/144-Cambridge-Pl-11238/home/40732132,REBNY,OLRS-0078622,N,Y,40.6830251,-73.9629149
MLS Listing,,Condo/Co-op,39 W 84th St Unit 3-B,New York,NY,10024,650000,1,1.0,Upper West Side,,2043,1886,1,,660,Active,,,https://www.redfin.com/NY/New-York/39-W-84th-St-10024/unit-3B/home/114894722,REBNY,OLRS-1522583,N,Y,40.7849182,-73.9720409
MLS Listing,,Condo/Co-op,302 E 96th St Ph -4,New York,NY,10128,3795000,3,3.0,Yorkville,2290,5035,2018,1,1657,3191,Active,,,https://www.redfin.com/NY/New-York/302-E-96th-St-10128/unit-4/home/145167041,REBNY,OLRS-1745977,N,Y,40.783707,-73.946774
MLS Listing,,Condo/Co-op,177 E 77th St Unit 5-A,New York,NY,10075,3250000,3,2.0,Upper East Side,1600,10260,1942,1,2031,2500,Active,,,https://www.redfin.com/NY/New-York/177-E-77th-St-10075/unit-5A/home/45134309,REBNY,OLRS-1455724,N,Y,40.7733581,-73.9586221
MLS Listing,,Condo/Co-op,737 Park Ave Unit 9-A,New York,NY,10021,8990000,4,4.0,Lenox Hill,3164,14303,1940,1,2841,3898,Active,,,https://www.redfin.com/NY/New-York/737-Park-Ave-10021/unit-9A/home/105844446,REBNY,OLRS-1375313,N,Y,40.7703913,-73.9637714
MLS Listing,,Condo/Co-op,330 E 57th St #14,New York,NY,10022,2750000,2,2.5,Sutton,1891,3350,2005,1,1454,2443,Active,,,https://www.redfin.com/NY/New-York/330-E-57th-St-10022/unit-14/home/45207465,REBNY,OLRS-1745514,N,Y,40.7587165,-73.9642972
MLS Listing,,Condo/Co-op,322 W 57th St Unit 54-T,New York,NY,10019,8500000,4,4.0,Hells Kitchen,3417,52868,1978,1,2488,3277,Active,,,https://www.redfin.com/NY/New-York/322-W-57th-St-10019/unit-54T/home/144972779,REBNY,OLRS-1733689,N,Y,40.7670037,-73.9840606
MLS Listing,,Condo/Co-op,400 Fifth Ave Unit 41-A,New York,NY,10018,1595000,1,1.5,Garment District,766,16350,2010,1,2082,1345,Active,,,https://www.redfin.com/NY/New-York/400-5th-Ave-10018/unit-41A/home/45331546,REBNY,OLRS-1830354,N,Y,40.7500752,-73.9837835
MLS Listing,,Condo/Co-op,305 Second Ave #344,New York,NY,10003,2000000,2,1.0,Gramercy,1109,21432,1899,1,1803,949,Active,,,https://www.redfin.com/NY/New-York/305-2nd-Ave-10003/unit-344/home/45127789,REBNY,OLRS-1320185,N,Y,40.7344156,-73.9836325
MLS Listing,,Condo/Co-op,50 Kenilworth Pl Unit 6-G,Brooklyn,NY,11210,250000,1,1.0,Flatbush,775,26250,1955,1,323,676,Active,,,https://www.redfin.com/NY/Brooklyn/50-Kenilworth-Pl-11210/unit-6G/home/170607059,REBNY,OLRS-1870548,N,Y,40.6344763,-73.9510906
MLS Listing,,Condo/Co-op,515 E 85th St Unit 6-D,New York,NY,10028,650000,1,1.0,Yorkville,770,10300,1961,1,844,1894,Active,,,https://www.redfin.com/NY/New-York/515-E-85th-St-10028/unit-6D/home/169726898,REBNY,OLRS-1857992,N,Y,40.7751023,-73.9468888
MLS Listing,,Condo/Co-op,365 Bridge St Unit 8-J,Brooklyn,NY,11201,1285000,3,2.0,Downtown Brooklyn,1287,25500,1928,1,998,873,Active,,,https://www.redfin.com/NY/Brooklyn/365-Bridge-St-11201/unit-8J/home/40670168,REBNY,OLRS-1253266,N,Y,40.6925905,-73.9849373
MLS Listing,,Townhouse,502 Clinton Ave,Brooklyn,NY,11238,1500000,9,9.0,Clinton Hill,7500,2400,1930,1,200,,Active,,,https://www.redfin.com/NY/Brooklyn/502-Clinton-Ave-11238/home/40733147,REBNY,OLRS-0070397,N,Y,40.6830859,-73.96719
MLS Listing,,Townhouse,335 Riverside Dr,New York,NY,10025,15998000,8,7.5,Upper West Side,8000,2018,1901,1,2000,,Active,,,https://www.redfin.com/NY/New-York/335-Riverside-Dr-10025/home/45305353,REBNY,OLRS-0021773,N,Y,40.8019332,-73.9701239
MLS Listing,,Condo/Co-op,420 E 51st St Unit 8-B,New York,NY,10022,309000,1,1.0,Beekman,1000,18075,1962,1,309,3326,Active,,,https://www.redfin.com/NY/New-York/420-E-51st-St-10022/unit-8B/home/45155219,REBNY,OLRS-92607,N,Y,40.7540391,-73.9651308
MLS Listing,,Townhouse,212 W 11th St,New York,NY,10014,8500000,4,4.0,West Village,2952,1048,1856,1,2879,,Active,,,https://www.redfin.com/NY/New-York/212-W-11th-St-10014/home/45246281,REBNY,OLRS-0081291,N,Y,40.7363235,-74.0017461
MLS Listing,,Condo/Co-op,2 E 55th St Unit 822/31,New York,NY,10022,105000,1,2.0,Midtown Central,852,22544,1904,1,123,1195,Active,,,https://www.redfin.com/NY/New-York/2-E-55th-St-10022/unit-822-31/home/160603855,REBNY,OLRS-1808686,N,Y,40.7612128,-73.9729824
MLS Listing,,Condo/Co-op,20 W 72nd St Unit 1106-A,New York,NY,10023,479000,0,1.0,Lincoln Square,,10216,1925,1,,886,Active,,,https://www.redfin.com/NY/New-York/20-W-72nd-St-10023/unit-1106A/home/45333720,REBNY,OLRS-949609,N,Y,40.7765087,-73.9775392
MLS Listing,,Townhouse,148 29th St,Brooklyn,NY,11232,1650000,5,3.0,Greenwood,2100,2504,1934,1,786,,Active,,,https://www.redfin.com/NY/Brooklyn/148-29th-St-11232/home/40690145,REBNY,OLRS-0042176,N,Y,40.6586052,-74.0012715
MLS Listing,,Condo/Co-op,470 Columbus Ave #3,New York,NY,10024,9950000,4,4.5,Upper West Side,3570,5000,2022,1,2787,5737,Active,,,https://www.redfin.com/NY/New-York/470-Columbus-Ave-10024/unit-3/home/175534635,REBNY,OLRS-1944346,N,Y,40.7844254,-73.9740758
MLS Listing,,Condo/Co-op,153 Joralemon St Unit 4-R,Brooklyn,NY,11201,375000,1,1.0,Brooklyn Heights,,2050,1861,1,,1338,Active,,,https://www.redfin.com/NY/Brooklyn/153-Joralemon-St-11201/unit-4R/home/40647210,REBNY,OLRS-1940899,N,Y,40.6930356,-73.9933536
MLS Listing,,Condo/Co-op,380 Riverside Dr Unit 4Q,New York,NY,10025,2395000,3,2.0,Morningside Heights,,24800,1906,1,,3171,Active,,,https://www.redfin.com/NY/New-York/380-Riverside-Dr-10025/unit-4Q/home/52985134,REBNY,RPLU-440268933,N,Y,40.8050797,-73.9674377
MLS Listing,,Condo/Co-op,301 E 62nd St Unit 15-H,New York,NY,10065,995000,2,1.0,Lenox Hill,,11800,1958,1,,1651,Active,,,https://www.redfin.com/NY/New-York/301-E-62nd-St-10065/unit-15H/home/45158435,REBNY,OLRS-72113,N,Y,40.7624212,-73.9625338
MLS Listing,,Condo/Co-op,15 W 63rd St Unit 23B,New York,NY,10023,9995000,4,4.5,Lincoln Square,2907,7301,2000,1,3438,4691,Active,,,https://www.redfin.com/NY/New-York/15-W-63rd-St-10023/unit-23B/home/45316094,REBNY,PRCH-2872474,N,Y,40.7711139,-73.980845
MLS Listing,,Townhouse,159 E 78th St,New York,NY,10075,7100000,4,4.5,Upper East Side,2052,1839,1861,1,3460,,Active,,,https://www.redfin.com/NY/New-York/159-E-78th-St-10075/home/45285344,REBNY,OLRS-0071378,N,Y,40.7742176,-73.9587707
MLS Listing,,Condo/Co-op,12 Mercer St #3,New York,NY,10013,2800000,0,2.5,SoHo,2000,1769,1860,1,1400,2000,Active,,,https://www.redfin.com/NY/New-York/12-Mercer-St-10013/unit-3/home/174301104,REBNY,OLRS-1158160,N,Y,40.7204457,-74.0019943
MLS Listing,,Condo/Co-op,860 Fifth Ave Unit 8-E,New York,NY,10065,1495000,2,2.0,Lenox Hill,,24800,1949,1,,3691,Active,,,https://www.redfin.com/NY/New-York/860-5th-Ave-10065/unit-8E/home/168625302,REBNY,OLRS-1842380,N,Y,40.7694918,-73.9687464
MLS Listing,,Condo/Co-op,21 E 61st St Unit 9-E,New York,NY,10065,7495000,3,3.5,Lenox Hill,2507,21640,1950,1,2990,9579,Active,,,https://www.redfin.com/NY/New-York/21-E-61st-St-10065/unit-9E/home/105887635,REBNY,OLRS-1647906,N,Y,40.7652325,-73.9708126
MLS Listing,,Condo/Co-op,685 W End Ave Unit 4-B,New York,NY,10025,2550000,3,2.0,Upper West Side,2120,12583,1928,1,1203,3155,Active,,,https://www.redfin.com/NY/New-York/685-West-Dr-10025/unit-4-B/home/182981364,REBNY,OLRS-54637,N,Y,40.793662,-73.97483
MLS Listing,,Condo/Co-op,,New York,NY,10006,2950000,2,2.0,Financial District,1314,14217,2007,1,2245,2350,Active,,,https://www.redfin.com/NY/New-York/Undisclosed-address-10006/home/169568434,REBNY,OLRS-1856038,N,Y,40.7092191,-74.0137534
