,Unnamed: 0,SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
0,0,MLS Listing,,Townhouse,90-27 186 St,Queens,NY,11423,799000,3.0,2.0,Hollis,,2500.0,1925.0,6,,,Active,,,https://www.redfin.com/NY/Queens/90-27-186th-St-11423/home/20765210,REBNY,PRCH-5000297,N,Y,40.7112733,-73.7737905
1,1,MLS Listing,,Townhouse,26 Lester Ct,Brooklyn,NY,11229,595000,2.0,2.5,Gerristen Beach,,1800.0,1930.0,20,,,Active,,,https://www.redfin.com/NY/Brooklyn/26-Lester-Ct-11229/home/40910250,REBNY,PRCH-4376702,N,Y,40.5877603,-73.9247421
2,2,MLS Listing,,Single Family Residential,9444 226th St,Floral Park,NY,11001,719000,3.0,2.0,Floral Park,,2400.0,1925.0,33,,,Active,,,https://www.redfin.com/NY/Floral-Park/9444-226th-St-11001/home/20477457,OneKey,3446280,N,Y,40.7212175,-73.72924
3,3,MLS Listing,,Single Family Residential,117-51 126th St,South Ozone Park,NY,11420,599000,3.0,2.0,South Ozone Park,,2100.0,1920.0,62,,,Active,,,https://www.redfin.com/NY/Queens/117-51-126th-St-11420/home/20719864,OneKey,3441422,N,Y,40.6737766,-73.8119125
4,4,MLS Listing,,Condo/Co-op,99-31 64th Ave Unit A-15,Queens,NY,11374,349000,1.0,1.0,Rego Park,968.0,38200.0,1947.0,65,361.0,814.0,Active,,,https://www.redfin.com/NY/Rego-Park/9931-64th-Ave-11374/unit-A15/home/40449539,REBNY,PRCH-3974324,N,Y,40.7317499,-73.8535799
5,5,MLS Listing,,Condo/Co-op,11 W 30th St Unit 12R,New York,NY,10001,1695000,2.0,2.0,Midtown South,1890.0,4937.0,1927.0,69,897.0,3388.0,Active,,,https://www.redfin.com/NY/New-York/11-W-30th-St-10001/unit-12R/home/182513684,REBNY,PRCH-3970387,N,Y,40.7464683,-73.9872992
6,6,MLS Listing,,Multi-Family (2-4 Unit),3086 Avenue W,Brooklyn,NY,11229,859000,3.0,2.0,Sheepshead Bay,,2000.0,1955.0,75,,,Active,,,https://www.redfin.com/NY/Brooklyn/3086-Avenue-W-11229/home/40865301,REBNY,PRCH-3971722,N,Y,40.5963917,-73.9346907
7,7,MLS Listing,,Condo/Co-op,211 Thompson St Unit 6M,New York,NY,10012,899000,1.0,1.5,Greenwich Village,,10000.0,1975.0,77,,1361.0,Active,,,https://www.redfin.com/NY/New-York/211-Thompson-St-10012/unit-6M/home/45141781,REBNY,PRCH-3970271,N,Y,40.7289082,-73.9994851
8,8,MLS Listing,,Multi-Family (2-4 Unit),71-09 73rd St,Glendale,NY,11385,895000,5.0,2.5,Glendale,,2017.0,1910.0,83,,,Active,,,https://www.redfin.com/NY/Queens/71-09-73rd-St-11385/home/20877533,OneKey,3436955,N,Y,40.7051351,-73.8772463
9,9,MLS Listing,,Condo/Co-op,172-27 Highland Ave Unit 1H,Queens,NY,11432,500000,2.0,2.5,Jamaica,,25000.0,1991.0,93,,370.0,Active,,,https://www.redfin.com/NY/Queens/17227-Highland-Ave-11432/unit-1H/home/20760650,REBNY,PRCH-3960099,N,Y,40.7134503,-73.7904076
10,10,MLS Listing,,Townhouse,111-56 144th St,Jamaica,NY,11435,529000,2.0,2.0,Jamaica,,2200.0,1945.0,96,,,Active,,,https://www.redfin.com/NY/Jamaica/111-56-144th-St-11435/home/20714726,OneKey,3434077,N,Y,40.6848845,-73.8002608
11,11,MLS Listing,,Single Family Residential,80-38 256th St,Glen Oaks,NY,11004,849000,4.0,2.5,Glen Oaks,1734.0,4000.0,1950.0,98,490.0,,Active,,,https://www.redfin.com/NY/Queens/80-38-256th-St-11004/home/20794042,OneKey,3433472,N,Y,40.742948,-73.7145709
12,12,MLS Listing,,Condo/Co-op,84-20 153rd Ave Unit 3C,Queens,NY,11414,279000,2.0,2.0,Lindenwood,,110550.0,1964.0,111,,1217.0,Active,,,https://www.redfin.com/NY/Queens/84-20-153rd-Ave-11414/unit-3C/home/20647590,REBNY,PRCH-3944575,N,Y,40.666096,-73.8488468
13,13,MLS Listing,,Condo/Co-op,351 S 3rd St Unit 3B,Brooklyn,NY,11211,1040000,2.0,1.0,Williamsburg,761.0,2950.0,2006.0,120,1367.0,280.0,Active,,,https://www.redfin.com/NY/Brooklyn/351-S-3rd-St-11211/unit-3B/home/40923720,REBNY,PRCH-3937696,N,Y,40.7094314,-73.9535061
14,14,MLS Listing,,Condo/Co-op,86-70 Francis Lewis Blvd Unit A52,Queens Village,NY,11427,189000,1.0,1.0,Hilltop Village,,,1954.0,140,,730.0,Active,,,https://www.redfin.com/NY/Queens-Village/8670-Francis-Lewis-BLVD-11427/unit-A52/home/175520289,OneKey,3424104,N,Y,40.7302787,-73.7442568
15,15,MLS Listing,,Co-op,417 Riverside Dr Unit 3A1,New York,NY,10025,1450000,2.0,1.0,Morningside Heights,,6625.0,1918.0,142,,2297.0,Active,,,https://www.redfin.com/NY/New-York/417-Riverside-Dr-10025/unit-3A1/home/45164302,REBNY,PRCH-3866235,N,Y,40.8073367,-73.9666342
16,16,MLS Listing,,Single Family Residential,320 Brinsmade Ave,Bronx,NY,10465,500000,3.0,1.0,BRONX,880.0,3324.0,1925.0,146,568.0,,Active,,,https://www.redfin.com/NY/The-Bronx/320-Brinsmade-Ave-10465/home/44788252,OneKey,H6202906,N,Y,40.8180068,-73.8216085
17,17,MLS Listing,,Condo/Co-op,110 W 80th St Unit 4r/F,New York,NY,10024,1899999,3.0,2.5,Upper West Side,,2043.0,1893.0,167,,1657.0,Active,,,https://www.redfin.com/NY/New-York/110-W-80th-St-10024/unit-4r-F/home/180603291,REBNY,PRCH-3852856,N,Y,40.7827605,-73.9758616
18,18,MLS Listing,,Condo/Co-op,301 E 87th St Unit 23F,New York,NY,10128,850000,1.0,1.0,Yorkville,,10067.0,1972.0,180,,1765.0,Active,,,https://www.redfin.com/NY/New-York/301-E-87th-St-10128/unit-23F/home/45161559,REBNY,PRCH-3845636,N,Y,40.7785894,-73.9507922
19,19,MLS Listing,,Condo/Co-op,118 E 60th St Unit 23A,New York,NY,10022,550000,1.0,1.0,Lenox Hill,,24100.0,1964.0,289,,1715.0,Active,,,https://www.redfin.com/NY/New-York/118-E-60th-St-10022/unit-23A/home/172384064,REBNY,PRCH-3766068,N,Y,40.7629068,-73.9686349
20,20,MLS Listing,,Condo/Co-op,200 Cabrini Blvd #1,New York,NY,10033,699000,2.0,1.0,Hudson Heights,997.0,382704.0,1939.0,457,701.0,1433.0,Active,,,https://www.redfin.com/NY/New-York/200-Cabrini-Blvd-10033/unit-1/home/115051448,REBNY,PRCH-3682387,N,Y,40.854604029,-73.9392436
21,21,MLS Listing,,Condo/Co-op,330 E 38th St Unit 24-A,New York,NY,10016,1295000,1.0,2.5,Murray Hill,1043.0,81173.0,1987.0,1,1242.0,843.0,Active,,,https://www.redfin.com/NY/New-York/330-E-38th-St-10016/unit-24A/home/45258125,REBNY,OLRS-1594952,N,Y,40.7463691,-73.9731773
22,22,MLS Listing,,Condo/Co-op,21-45 44th Dr Unit 1-J,Queens,NY,11101,754000,1.0,1.0,Hunters Point,628.0,7300.0,2010.0,1,1201.0,644.0,Active,,,https://www.redfin.com/NY/Long-Island-City/21-45-44th-Dr-11101/unit-1J/home/45109637,REBNY,OLRS-1600623,N,Y,40.7480735,-73.9457711
23,23,MLS Listing,,Condo/Co-op,300 E 85th St #202,New York,NY,10028,780000,1.0,1.0,Yorkville,700.0,11850.0,1987.0,1,1114.0,1684.0,Active,,,https://www.redfin.com/NY/New-York/300-E-85th-St-10028/unit-202/home/45230461,REBNY,OLRS-692860,N,Y,40.776824,-73.9519402
24,24,MLS Listing,,Condo/Co-op,159 W 118th St Unit 3-E,New York,NY,10026,1200000,3.0,2.0,Harlem,1296.0,10092.0,1900.0,1,926.0,807.0,Active,,,https://www.redfin.com/NY/New-York/159-W-118th-St-10026/unit-3E/home/45340661,REBNY,OLRS-527270,N,Y,40.8045193,-73.9512339
25,25,MLS Listing,,Townhouse,12 Agate Ct,Brooklyn,NY,11213,1700000,4.0,3.5,Stuyvesant Heights,2720.0,1240.0,1888.0,1,625.0,,Active,,,https://www.redfin.com/NY/Brooklyn/12-Agate-Ct-11213/home/40729644,REBNY,OLRS-0055205,N,Y,40.6782821,-73.939546
26,26,MLS Listing,,Condo/Co-op,177 Ninth Ave Ph -B,New York,NY,10011,5750000,2.0,2.5,Chelsea,2049.0,23765.0,2008.0,1,2806.0,7569.0,Active,,,https://www.redfin.com/NY/New-York/177-9th-Ave-10011/unit-B/home/174307908,REBNY,OLRS-745810,N,Y,40.7450569,-74.0027927
27,27,MLS Listing,,Condo/Co-op,112-01 Queens Blvd Unit 6-L,Queens,NY,11375,595000,1.0,1.0,Forest Hills,683.0,42680.0,1988.0,1,871.0,806.0,Active,,,https://www.redfin.com/NY/Queens/112-01-Queens-Blvd-11375/unit-6L/home/20914923,REBNY,OLRS-918299,N,Y,40.7190009,-73.8365029
28,28,MLS Listing,,Condo/Co-op,251 Seaman Ave Unit 5F,New York,NY,10034,699000,2.0,2.0,Inwood,1150.0,15000.0,1938.0,1,608.0,1282.0,Active,,,https://www.redfin.com/NY/New-York/251-Seaman-Ave-10034/unit-5F/home/45166505,REBNY,RPLU-28402027926,N,Y,40.8716437,-73.9178483
29,29,MLS Listing,,Condo/Co-op,264 W 22nd St #11,New York,NY,10011,499000,1.0,1.0,Chelsea,,2469.0,1920.0,1,,1280.0,Active,,,https://www.redfin.com/NY/New-York/264-W-22nd-St-10011/unit-11/home/53323250,REBNY,OLRS-1211671,N,Y,40.7442437,-73.9985898
30,30,MLS Listing,,Condo/Co-op,462 W 58th St Unit 4-A,New York,NY,10019,2150000,3.0,2.5,Hells Kitchen,1637.0,14095.0,2008.0,1,1313.0,1672.0,Active,,,https://www.redfin.com/NY/New-York/462-W-58th-St-10019/unit-4A/home/45322385,REBNY,OLRS-1546918,N,Y,40.7693647,-73.9875483
31,31,MLS Listing,,Condo/Co-op,300 E 71st St Unit 17-H,New York,NY,10021,1299000,2.0,2.0,Lenox Hill,,22595.0,1961.0,1,,2520.0,Active,,,https://www.redfin.com/NY/New-York/300-E-71st-St-10021/unit-17H/home/144319728,REBNY,OLRS-673046,N,Y,40.7676094,-73.958897
32,32,MLS Listing,,Condo/Co-op,13 W 13th St Unit 6-BS,New York,NY,10011,1299000,2.0,2.0,Greenwich Village,,18070.0,1962.0,1,,3080.0,Active,,,https://www.redfin.com/NY/New-York/13-W-13th-St-10011/unit-6BS/home/166831077,REBNY,OLRS-1823096,N,Y,40.7360052,-73.9950777
33,33,MLS Listing,,Condo/Co-op,401 E 60th St Unit 36-B,New York,NY,10022,1585000,2.0,2.0,Lenox Hill,1140.0,40200.0,1999.0,1,1390.0,1759.0,Active,,,https://www.redfin.com/NY/New-York/401-E-60th-St-10022/unit-36B/home/45315373,REBNY,OLRS-1705412,N,Y,40.7603031,-73.9610497
34,34,MLS Listing,,Condo/Co-op,304 E 73rd St Unit 2-F,New York,NY,10021,385000,0.0,1.0,Upper East Side,,5110.0,1910.0,1,,877.0,Active,,,https://www.redfin.com/NY/New-York/304-E-73rd-St-10021/unit-2F/home/45198631,REBNY,OLRS-1469161,N,Y,40.769048,-73.957453
35,35,MLS Listing,,Condo/Co-op,100 Park Ter W Unit 4-M,New York,NY,10034,499000,2.0,1.0,Inwood,,18650.0,1951.0,1,,811.0,Active,,,https://www.redfin.com/NY/New-York/100-Park-Ter-W-10034/unit-4M/home/148571905,REBNY,OLRS-1771961,N,Y,40.8717961,-73.916064
36,36,MLS Listing,,Condo/Co-op,205 E 78th St Unit 8-S,New York,NY,10075,395000,0.0,1.0,Upper East Side,,15835.0,1928.0,1,,993.0,Active,,,https://www.redfin.com/NY/New-York/205-E-78th-St-10075/unit-8S/home/144573967,REBNY,OLRS-122599,N,Y,40.7736038,-73.9573268
37,37,MLS Listing,,Townhouse,30 Gunther Pl,Brooklyn,NY,11233,1350000,5.0,4.5,Ocean Hill,2220.0,1313.0,1901.0,1,608.0,,Active,January-8-2023 01:00 PM,January-8-2023 03:00 PM,https://www.redfin.com/NY/Brooklyn/30-Gunther-Pl-11233/home/40719317,REBNY,OLRS-0082131,N,Y,40.6767282,-73.9120485
38,38,MLS Listing,,Multi-Family (2-4 Unit),228 W 136th St,New York,NY,10030,2695000,4.0,3.5,Harlem,3400.0,1665.0,1910.0,1,793.0,,Active,,,https://www.redfin.com/NY/New-York/228-W-136th-St-10030/home/166908956,REBNY,OLRS-0078338,N,Y,40.8163917,-73.9445813
39,39,MLS Listing,,Condo/Co-op,11 E 29th St Unit 48-C,New York,NY,10016,2100000,1.0,1.5,NoMad,991.0,7404.0,2005.0,1,2119.0,1254.0,Active,,,https://www.redfin.com/NY/New-York/11-E-29th-St-10016/unit-48C/home/45222464,REBNY,OLRS-1596112,N,Y,40.7449921,-73.985602
40,40,MLS Listing,,Condo/Co-op,7 Park Ave Unit 10-H,New York,NY,10016,399000,0.0,1.0,Murray Hill,,13054.0,1930.0,1,,958.0,Active,,,https://www.redfin.com/NY/New-York/7-Park-Ave-10016/unit-10H/home/53323726,REBNY,OLRS-1090028,N,Y,40.747171,-73.9809462
41,41,MLS Listing,,Condo/Co-op,3850 Hudson Manor Ter Unit 6-DE,Bronx,NY,10463,369000,2.0,2.0,Riverdale,1200.0,68625.0,1954.0,1,308.0,1270.0,Active,,,https://www.redfin.com/NY/BRONX/3850-HUDSON-MANOR-TER-10463/unit-6DE/home/40496842,REBNY,OLRS-1096719,N,Y,40.8895,-73.914807
42,42,MLS Listing,,Condo/Co-op,88 Greenwich St #917,New York,NY,10006,995000,1.0,1.0,Financial District,883.0,24470.0,1929.0,1,1127.0,1317.0,Active,,,https://www.redfin.com/NY/New-York/88-Greenwich-St-10006/unit-917/home/45204964,REBNY,OLRS-1438947,N,Y,40.7077981,-74.013828
43,43,MLS Listing,,Townhouse,,New York,NY,10016,5500000,6.0,6.0,Murray Hill,5800.0,1661.0,1850.0,1,948.0,,Active,,,https://www.redfin.com/NY/New-York/Undisclosed-address-10016/home/45333496,REBNY,OLRS-0022203,N,Y,40.7472682,-73.9802189
44,44,MLS Listing,,Condo/Co-op,100 W 58th St Unit 7-G,New York,NY,10019,1295000,2.0,2.0,Midtown Central,1161.0,10017.0,1928.0,1,1115.0,1839.0,Active,,,https://www.redfin.com/NY/New-York/100-W-58th-St-10019/unit-7G/home/45190128,REBNY,OLRS-1220201,N,Y,40.7650262,-73.9771152
45,45,MLS Listing,,Condo/Co-op,230 W 78th St Unit 5-A,New York,NY,10024,5345000,4.0,4.0,Upper West Side,2539.0,5108.0,2008.0,1,2105.0,3788.0,Active,,,https://www.redfin.com/NY/New-York/230-W-78th-St-10024/unit-5A/home/45223752,REBNY,OLRS-403403,N,Y,40.7828939,-73.9800849
46,46,MLS Listing,,Condo/Co-op,363 E 76th St Unit 5-M,New York,NY,10021,850000,2.0,1.0,Upper East Side,,19754.0,1963.0,1,,1826.0,Active,,,https://www.redfin.com/NY/New-York/363-E-76th-St-10021/unit-5M/home/45183512,REBNY,OLRS-1856971,N,Y,40.7707823,-73.9545398
47,47,MLS Listing,,Condo/Co-op,1 Central Park S #1801,New York,NY,10019,16500000,4.0,3.5,Central Park South,4064.0,53772.0,1905.0,1,4060.0,6732.0,Active,,,https://www.redfin.com/NY/New-York/1-Central-Park-S-10019/unit-1801/home/115134796,REBNY,OLRS-1702262,N,Y,40.7646455,-73.974393
48,48,MLS Listing,,Condo/Co-op,167 E 61ST St Unit 27-A,New York,NY,10065,1799000,2.0,2.0,Lenox Hill,1400.0,21087.0,1984.0,1,1285.0,3691.0,Active,,,https://www.redfin.com/NY/New-York/167-E-61st-St-10065/unit-27A/home/45156659,REBNY,OLRS-163278,N,Y,40.7631868,-73.9657847
49,49,MLS Listing,,Condo/Co-op,580 Marcy Ave Unit 4-B,Brooklyn,NY,11206,799000,1.0,1.0,Bed Stuy,740.0,2500.0,1931.0,1,1080.0,398.0,Active,,,https://www.redfin.com/NY/Brooklyn/580-Marcy-Ave-11206/unit-4B/home/40676452,REBNY,OLRS-1558666,N,Y,40.6948638,-73.9494549
50,50,MLS Listing,,Condo/Co-op,22 Mercer St Unit 2-D,New York,NY,10013,4750000,2.0,2.5,SoHo,2392.0,10484.0,1860.0,1,1986.0,2940.0,Active,,,https://www.redfin.com/NY/New-York/22-Mercer-St-10013/unit-2D/home/45189498,REBNY,OLRS-251996,N,Y,40.7206971,-74.001812
51,51,MLS Listing,,Condo/Co-op,530 E 76th St Unit 34/35AB,New York,NY,10021,3700000,4.0,3.5,Upper East Side,2930.0,9738.0,1986.0,1,1263.0,5031.0,Active,,,https://www.redfin.com/NY/New-York/530-E-76th-St-10021/unit-3435AB/home/130618209,REBNY,OLRS-622826,N,Y,40.7685084,-73.9499965
52,52,MLS Listing,,Condo/Co-op,630 First Ave Unit 9L,New York,NY,10016,1299000,2.0,2.0,Murray Hill,967.0,45526.0,1985.0,1,1343.0,1136.0,Active,,,https://www.redfin.com/NY/New-York/630-1st-Ave-10016/unit-9L/home/45258441,REBNY,RPLU-704119968829,N,Y,40.7451918,-73.9716642
53,53,MLS Listing,,Condo/Co-op,52 Park Ave #2,New York,NY,10016,2095000,2.0,2.5,Murray Hill,1231.0,2537.0,1984.0,1,1702.0,2317.0,Active,,,https://www.redfin.com/NY/New-York/52-Park-Ave-10016/unit-2/home/45313641,REBNY,OLRS-198466,N,Y,40.7493512,-73.9801398
54,54,MLS Listing,,Condo/Co-op,431 E 82nd St Unit 1-A,New York,NY,10028,280000,0.0,1.0,Yorkville,,2554.0,1910.0,1,,689.0,Active,,,https://www.redfin.com/NY/New-York/431-E-82nd-St-10028/unit-1A/home/45318792,REBNY,OLRS-757868,N,Y,40.7737792,-73.9495867
55,55,MLS Listing,,Condo/Co-op,25 Fifth Ave Unit 8-H,New York,NY,10003,1875000,1.0,1.0,Greenwich Village,724.0,10546.0,1921.0,1,2590.0,999.0,Active,,,https://www.redfin.com/NY/New-York/25-5th-Ave-10003/unit-8H/home/45221385,REBNY,OLRS-1358858,N,Y,40.7328142,-73.995445
56,56,MLS Listing,,Condo/Co-op,99 John St #2011,New York,NY,10038,870000,1.0,1.0,Financial District,798.0,29668.0,1933.0,1,1090.0,644.0,Active,,,https://www.redfin.com/NY/New-York/99-John-St-10038/unit-2011/home/45220150,REBNY,OLRS-1101067,N,Y,40.7083595,-74.0060041
57,57,MLS Listing,,Condo/Co-op,88 Greenwich St #329,New York,NY,10006,649000,0.0,1.0,Financial District,618.0,24470.0,1929.0,1,1050.0,921.0,Active,,,https://www.redfin.com/NY/New-York/88-Greenwich-St-10006/unit-329/home/45218139,REBNY,OLRS-1718282,N,Y,40.7077981,-74.013828
58,58,MLS Listing,,Townhouse,144 Cambridge Pl,Brooklyn,NY,11238,1895000,4.0,5.0,Clinton Hill,6184.0,1546.0,1899.0,1,306.0,,Active,,,https://www.redfin.com/NY/Brooklyn/144-Cambridge-Pl-11238/home/40732132,REBNY,OLRS-0078622,N,Y,40.6830251,-73.9629149
59,59,MLS Listing,,Condo/Co-op,39 W 84th St Unit 3-B,New York,NY,10024,650000,1.0,1.0,Upper West Side,,2043.0,1886.0,1,,660.0,Active,,,https://www.redfin.com/NY/New-York/39-W-84th-St-10024/unit-3B/home/114894722,REBNY,OLRS-1522583,N,Y,40.7849182,-73.9720409
60,60,MLS Listing,,Condo/Co-op,302 E 96th St Ph -4,New York,NY,10128,3795000,3.0,3.0,Yorkville,2290.0,5035.0,2018.0,1,1657.0,3191.0,Active,,,https://www.redfin.com/NY/New-York/302-E-96th-St-10128/unit-4/home/145167041,REBNY,OLRS-1745977,N,Y,40.783707,-73.946774
61,61,MLS Listing,,Condo/Co-op,177 E 77th St Unit 5-A,New York,NY,10075,3250000,3.0,2.0,Upper East Side,1600.0,10260.0,1942.0,1,2031.0,2500.0,Active,,,https://www.redfin.com/NY/New-York/177-E-77th-St-10075/unit-5A/home/45134309,REBNY,OLRS-1455724,N,Y,40.7733581,-73.9586221
62,62,MLS Listing,,Condo/Co-op,737 Park Ave Unit 9-A,New York,NY,10021,8990000,4.0,4.0,Lenox Hill,3164.0,14303.0,1940.0,1,2841.0,3898.0,Active,,,https://www.redfin.com/NY/New-York/737-Park-Ave-10021/unit-9A/home/105844446,REBNY,OLRS-1375313,N,Y,40.7703913,-73.9637714
63,63,MLS Listing,,Condo/Co-op,330 E 57th St #14,New York,NY,10022,2750000,2.0,2.5,Sutton,1891.0,3350.0,2005.0,1,1454.0,2443.0,Active,,,https://www.redfin.com/NY/New-York/330-E-57th-St-10022/unit-14/home/45207465,REBNY,OLRS-1745514,N,Y,40.7587165,-73.9642972
64,64,MLS Listing,,Condo/Co-op,322 W 57th St Unit 54-T,New York,NY,10019,8500000,4.0,4.0,Hells Kitchen,3417.0,52868.0,1978.0,1,2488.0,3277.0,Active,,,https://www.redfin.com/NY/New-York/322-W-57th-St-10019/unit-54T/home/144972779,REBNY,OLRS-1733689,N,Y,40.7670037,-73.9840606
65,65,MLS Listing,,Condo/Co-op,400 Fifth Ave Unit 41-A,New York,NY,10018,1595000,1.0,1.5,Garment District,766.0,16350.0,2010.0,1,2082.0,1345.0,Active,,,https://www.redfin.com/NY/New-York/400-5th-Ave-10018/unit-41A/home/45331546,REBNY,OLRS-1830354,N,Y,40.7500752,-73.9837835
66,66,MLS Listing,,Condo/Co-op,305 Second Ave #344,New York,NY,10003,2000000,2.0,1.0,Gramercy,1109.0,21432.0,1899.0,1,1803.0,949.0,Active,,,https://www.redfin.com/NY/New-York/305-2nd-Ave-10003/unit-344/home/45127789,REBNY,OLRS-1320185,N,Y,40.7344156,-73.9836325
67,67,MLS Listing,,Condo/Co-op,50 Kenilworth Pl Unit 6-G,Brooklyn,NY,11210,250000,1.0,1.0,Flatbush,775.0,26250.0,1955.0,1,323.0,676.0,Active,,,https://www.redfin.com/NY/Brooklyn/50-Kenilworth-Pl-11210/unit-6G/home/170607059,REBNY,OLRS-1870548,N,Y,40.6344763,-73.9510906
68,68,MLS Listing,,Condo/Co-op,515 E 85th St Unit 6-D,New York,NY,10028,650000,1.0,1.0,Yorkville,770.0,10300.0,1961.0,1,844.0,1894.0,Active,,,https://www.redfin.com/NY/New-York/515-E-85th-St-10028/unit-6D/home/169726898,REBNY,OLRS-1857992,N,Y,40.7751023,-73.9468888
69,69,MLS Listing,,Condo/Co-op,365 Bridge St Unit 8-J,Brooklyn,NY,11201,1285000,3.0,2.0,Downtown Brooklyn,1287.0,25500.0,1928.0,1,998.0,873.0,Active,,,https://www.redfin.com/NY/Brooklyn/365-Bridge-St-11201/unit-8J/home/40670168,REBNY,OLRS-1253266,N,Y,40.6925905,-73.9849373
